score,ok,max_att,threshold,lookahead,release,knee,bias,noise,signal,ssnr
2.780345365563754,False,24.0,6.0,2,40.0,12.0,1.0,-1.361826175723083,-0.4311395977647628,9.070280551594054
2.7769587512626024,False,12.0,3.0,0,40.0,12.0,1.5,-1.3385935307763972,-0.5205449265045983,9.307185214989653
2.76858138511467,False,30.0,3.0,0,80.0,12.0,1.2,-0.7133523586219752,-0.3079799722365007,9.203896031627673
2.7625136023519197,False,18.0,12.0,4,80.0,12.0,1.5,-8.956029145284324,-1.9014352857677277,7.469706717211964
2.7617911609154113,False,30.0,12.0,4,80.0,12.0,1.5,-14.577111836128834,-2.5970091520744547,5.702164950531546
2.759131266679523,False,12.0,9.0,4,40.0,6.0,1.5,-7.0866491566490915,-1.2931481101359157,7.490274780245664
2.7561720836393464,False,12.0,3.0,0,40.0,6.0,1.2,-0.7160727572781004,-0.319966891212918,9.245934853495523
2.7547834644003437,False,18.0,9.0,4,40.0,12.0,1.5,-6.732833100675129,-1.2470195153316483,7.595816014886655
2.740086058138765,False,12.0,3.0,0,80.0,6.0,1.5,-2.054078761595217,-0.6774882349444337,9.073547560715
2.7392796624934204,False,24.0,3.0,0,40.0,12.0,1.2,-0.763682877440295,-0.3414677383156248,9.219313998856812
2.7365975307603043,False,18.0,6.0,0,80.0,12.0,1.2,-2.6652654293418485,-0.8208592993232315,8.98126655972065
2.7332573567873233,False,12.0,9.0,0,80.0,12.0,1.5,-4.854784197149181,-1.3013265094835464,8.605537904070966
2.7305694631664643,False,18.0,3.0,0,20.0,12.0,1.2,-0.746005433745106,-0.33847865685954726,9.270288790194664
2.7278343943682266,False,24.0,9.0,2,80.0,6.0,1.0,-7.641001952556738,-1.2844423115111616,7.184391248199062
2.7275516205698884,False,12.0,9.0,2,20.0,12.0,1.0,-2.5417998785701648,-0.7906753999877623,8.99320053100808
2.721499178305564,False,18.0,3.0,4,40.0,6.0,1.5,-2.1995596463826006,-0.526310685122218,8.764747353671384
2.715553932698545,False,24.0,9.0,4,40.0,12.0,1.5,-8.913560931850244,-1.439207014288173,6.774118581882985
2.713317429006638,False,30.0,3.0,2,20.0,12.0,1.2,-0.4763548677413936,-0.2065913164275449,9.142679815300514
2.711259315985661,False,12.0,12.0,2,40.0,12.0,1.0,-4.350929739215695,-1.0926119707819846,8.533394304584535
2.710081168849899,False,12.0,6.0,0,20.0,12.0,1.0,-1.2135802045612951,-0.5011663452371321,9.316032917939673
2.7042489098543023,False,18.0,3.0,0,80.0,6.0,1.2,-0.7936835722915968,-0.33648501601722786,9.17432175283377
2.6949564597204243,False,30.0,3.0,2,80.0,6.0,1.2,-0.598093268029087,-0.2138799501144899,9.083563081043978
2.6945180644612403,False,18.0,3.0,2,20.0,12.0,1.5,-1.528524192338016,-0.5225475154425395,9.081129769251996
2.694150773344367,False,24.0,12.0,4,40.0,12.0,1.0,-8.258795421087154,-1.3596983859334582,6.9715368150553685
2.6930521763325173,False,12.0,3.0,0,20.0,12.0,1.5,-1.5155682934185901,-0.6075053723620244,9.282645763248665
2.6930066639593093,False,12.0,3.0,0,20.0,6.0,1.2,-0.9133668542705625,-0.40529766651771576,9.212077964647522
2.690482157924607,False,24.0,9.0,4,40.0,12.0,1.0,-4.483326107077402,-0.9115033074721542,8.185144546658409
2.6834734197357886,False,30.0,9.0,2,40.0,6.0,1.2,-13.362436208738577,-1.8528001864896104,5.154030445259596
